nom,url_spotify,url_deezer,categorie,genre
Francis Blanche,,https://www.deezer.com/artist/84490,Autre,Autre
François Périer,,https://www.deezer.com/artist/110785,Autre,Pop
Francis Greg,,https://www.deezer.com/artist/131505342,Autre,Pop
Francisca La Braza,,https://www.deezer.com/artist/55107742,Autre,Reggaeton-Latin
François-René Duchâble,,https://www.deezer.com/artist/64157,Autre,Autre
François-Frédéric Guy,,https://www.deezer.com/artist/162228,Autre,Autre
Francisco Tarrega,,https://www.deezer.com/artist/205652,Autre,Autre
Francois Couturier,,https://www.deezer.com/artist/149252,Autre,Jazz-Soul
Francis Maiv,,https://www.deezer.com/artist/341371,Autre,Pop
François-Henri Houbart,,https://www.deezer.com/artist/1009070,Autre,Autre
Francois-Joel Thiollier,,https://www.deezer.com/artist/292724,Autre,Autre
Francis Karel,,https://www.deezer.com/artist/7310628,Autre,Pop
Francis On My Mind,,https://www.deezer.com/artist/78902812,Autre,Pop
François Dumont,,https://www.deezer.com/artist/1644674,Autre,Indie-Alternative
Francis Mac Douglas,,https://www.deezer.com/artist/193287947,Autre,Electro
François Dal's,,https://www.deezer.com/artist/6109976,Autre,Pop
Francis of Delirium,,https://www.deezer.com/artist/77771672,Autre,Indie-Alternative
François Rabbath,,https://www.deezer.com/artist/263697,Autre,Jazz-Soul
Francis Doom,,https://www.deezer.com/artist/244328142,Autre,Indie-Alternative
Françoise Atlan,,https://www.deezer.com/artist/55475,Autre,Autre
François d'Arjac,,https://www.deezer.com/artist/180213567,Autre,Autre
Françis Lockwood,,https://www.deezer.com/artist/69053,Autre,Jazz-Soul
Francisco Araiza,,https://www.deezer.com/artist/149693,Autre,Autre
Francis Degrandpré,,https://www.deezer.com/artist/109196072,Autre,Country-Folk
Francisco Canaro Y Su Orquesta Tipica,,https://www.deezer.com/artist/243762,Autre,Reggaeton-Latin
Francis Durbridge,,https://www.deezer.com/artist/5424244,Autre,Autre
Francisco Alves,,https://www.deezer.com/artist/81747,Autre,Reggaeton-Latin
Francis Lopes,,https://www.deezer.com/artist/4627428,Autre,Autre
Francis Tra$h,,https://www.deezer.com/artist/14344715,Autre,Rap-HipHop-RnB
"Francisco ""Charro"" Avitia",,https://www.deezer.com/artist/526178,Autre,Reggaeton-Latin
Damaris,,https://www.deezer.com/artist/514408,Autre,Reggaeton-Latin
The Rapparees,,https://www.deezer.com/artist/7572586,Autre,Country-Folk
Los Papis RA7,,https://www.deezer.com/artist/4352161,Autre,Reggaeton-Latin
Fallon,,https://www.deezer.com/artist/356321592,Autre,Rap-HipHop-RnB
Elyon,,https://www.deezer.com/artist/173243357,Autre,Rap-HipHop-RnB
dalynn,,https://www.deezer.com/artist/54031982,Autre,Rap-HipHop-RnB
Dalton,,https://www.deezer.com/artist/383067,Autre,Indie-Alternative
RaeLynn,,https://www.deezer.com/artist/1960571,Autre,Country-Folk
Dan Lyons,,https://www.deezer.com/artist/3122211,Autre,Indie-Alternative
Rapoon,,https://www.deezer.com/artist/60613,Autre,Electro
Ray Lynch,,https://www.deezer.com/artist/448822,Autre,Indie-Alternative
Alhaz,,https://www.deezer.com/artist/52084132,Autre,Rap-HipHop-RnB
Da'ville,,https://www.deezer.com/artist/253199,Autre,Reggaeton-Latin
Raptile,,https://www.deezer.com/artist/10921,Autre,Rap-HipHop-RnB
Rapkilla,,https://www.deezer.com/artist/4081720,Autre,Rap-HipHop-RnB
Radu Ille,,https://www.deezer.com/artist/8654616,Autre,Pop
Rap and Hip Hop Beat Mister,,https://www.deezer.com/artist/5048196,Autre,Rap-HipHop-RnB
Rap All Star,,https://www.deezer.com/artist/7720326,Autre,Rap-HipHop-RnB
F.F.F.,,https://www.deezer.com/artist/3571,Autre,Pop
FFB,,https://www.deezer.com/artist/14305049,Autre,Electro
Coco,,https://www.deezer.com/artist/262163291,Autre,Autre
Peppa Pig (Français),,https://www.deezer.com/artist/110036362,Autre,Autre
K-Pop,,https://www.deezer.com/artist/5604399,Autre,Autre
K-Pop Demon Hunter,,https://www.deezer.com/artist/350574902,Autre,Autre
Alain Chamfort,,https://www.deezer.com/artist/8348,Autre,Pop
Polaris,,https://www.deezer.com/artist/13643833,Autre,Rap-HipHop-RnB
Polygon,,https://www.deezer.com/artist/1379227,Autre,Rock-Metal
Pop Money,,https://www.deezer.com/artist/154781661,Autre,Rap-HipHop-RnB
Pollyn,,https://www.deezer.com/artist/408216,Autre,Electro
Pol_On,,https://www.deezer.com/artist/363364,Autre,Electro
Papyon,,https://www.deezer.com/artist/2669231,Autre,Pop
Pip Millett,,https://www.deezer.com/artist/13117063,Autre,Rap-HipHop-RnB
Lophiile,,https://www.deezer.com/artist/10951742,Autre,Electro
Popsicle,,https://www.deezer.com/artist/66541,Autre,Electro
Pop Will Eat Itself,,https://www.deezer.com/artist/10988,Autre,Rock-Metal
Pinkfong en Français,,https://www.deezer.com/artist/263038951,Autre,Autre
Neal Francis,,https://www.deezer.com/artist/55830502,Autre,Rock-Metal
Les Folies Françoises,,https://www.deezer.com/artist/4365728,Autre,Autre
Hazbin Hotel,,https://www.deezer.com/artist/252433822,Autre,Autre
François Joseph Gossec,,https://www.deezer.com/artist/1637480,Autre,Autre
Solaris,,https://www.deezer.com/artist/13261,Autre,Jazz-Soul
Riot,,https://www.deezer.com/artist/54044302,Autre,Rock-Metal
Soul Control,,https://www.deezer.com/artist/404641,Autre,Indie-Alternative
Soul Syndicate,,https://www.deezer.com/artist/335071,Autre,Reggaeton-Latin
Soul Kontakt,,https://www.deezer.com/artist/3592941,Autre,Electro
Saúl Lallemand,,https://www.deezer.com/artist/5316557,Autre,Reggaeton-Latin
Soulline,,https://www.deezer.com/artist/894064,Autre,Rock-Metal
Saúl Lallermand,,https://www.deezer.com/artist/6047134,Autre,Reggaeton-Latin
Soul Ballet,,https://www.deezer.com/artist/10595,Autre,Jazz-Soul
Soul Seller,,https://www.deezer.com/artist/1656010,Autre,Rock-Metal
Gospel Praise Family,,https://www.deezer.com/artist/88679,Autre,Autre
Pagode Restaura,,https://www.deezer.com/artist/206803037,Autre,Autre
Kreyol Gospel Parts,,https://www.deezer.com/artist/7637196,Autre,Country-Folk
The Gospel Youth,,https://www.deezer.com/artist/7162690,Autre,Rock-Metal
FRENCH TOUCH,,https://www.deezer.com/artist/555982,Autre,Pop
The French Touch NZ,,https://www.deezer.com/artist/62227802,Autre,Pop
Stardust,,https://www.deezer.com/artist/68540642,Autre,Electro
