nom,source,score,followers,fans,spotify_id,deezer_id
La Maîtrise de Saint Marc - LES CHORISTES,Spotify,,,,026nk210FPO26xMwpoew70,
MANARËM,Spotify,,,,5BQdp2NlYGiwVgnCJB3gyX,
Neaj,Spotify,,,,0eFmnuvX7ZDCsnOesNifzb,
Maks,Spotify,,,,27y3Ud8v0SrHGx0uOYN34z,
Le D,Spotify,,,,1q3qfgcLt7dhYNdWLEXgkX,
Arèndi,Spotify,,,,7H3zHwjR1Wdxk6JVWV2a6c,
Tigre d'Eau Douce,Spotify,,,,2J0cbdwUlJkBYkQYIDDU5k,
DAYSY,Spotify,,,,6vorHF3qW6vODkQP51kGlk,
Lijay,Spotify,,,,0fEd76ZuO65826Q6ilZIuO,
ZABUZA,Spotify,,,,1BC1J2L4JXtQG3JgtDVCrk,
Dika,Spotify,,,,1rBnd8KxDndiiiIyjOsFtw,
St Graal,Spotify,,,,7Kgv8CorcAKsG4of90vA5I,
Danthology,Spotify,,,,6Rii9NJk3gtAOB1qnbTYPM,
Marie-Flore,Spotify,,,,3bM1MZ42q6lUJqHDaDwcKr,
KELSON,Spotify,,,,3PlSpnPQR0dZY50k3jfx7h,
Eu93ne,Spotify,,,,19lhY4E6GLxH337OZLfOV4,
Danilo,Spotify,,,,0nztDFQzc7SwCIGZnvDIJ7,
Kaf Malbar,Spotify,,,,1id4EoPVo5qfzdP5gMf5U3,
Jayel,Spotify,,,,5kKxz4PDHgrpIt8LX3PPiF,
Afrobeats Central,Spotify,,,,5CnUroTELSGtd9HXmXOgaB,
T-Jy,Spotify,,,,28YuYWLmKm0vl1gb5cUIta,
O - Olivier Marguerit,Spotify,,,,2JldlUF9gAWKZc1qNvjQpo,
Emrod,Spotify,,,,7Gd2a8LhB6hvrgFjuZMw9U,
Molière l'opéra urbain,Spotify,,,,7eFL3K5giCsAHXus03F7Cd,
Coline Rio,Spotify,,,,0avwZ2v9jOgVLB1IfimwdA,
Hulk,Spotify,,,,2D2Wm1oAJrDRzXVzxkyBOE,
LJK,Spotify,,,,6KPfd2qfwePi6IM7RyQ3hd,
lille Caesar,Spotify,,,,79ydqO3TZ35NwkWtjyvugR,
Mathu,Spotify,,,,6wknBTDOHIw2ZJNsCl2sx2,
Esmée,Spotify,,,,4ltaLmNRwdD98CtEsot497,
Diez,Spotify,,,,082ELiDlIVdC1ovHXpWZHK,
Sp93,Spotify,,,,70BVuSoIusPEV52Fyi3RlK,
Le Lounge Bar Français,Spotify,,,,7EEdwUdhGRjusZNKBZ4kMU,
Zaoui,Spotify,,,,5nrmuhl0AXvSLeoZgB3Tmr,
Tample,Spotify,,,,0PL4oBFPdmDGLXFPaBpYcJ,
NIVK,Spotify,,,,7lOybRN1Qz34nPphHTHRHY,
Braeker,Spotify,,,,7fGRdpiX855x7RBK8DjT1F,
Fanny,Spotify,,,,7qYMSnsPIXmSMXfGVuCDwm,
Fouzia,Spotify,,,,2k0TTdszNNaFtbS7XdReiF,
91,Spotify,,,,227ZhUtAhpZiTj8S80p1y5,
RORI,Spotify,,,,1VGFnvgAwxMlV8D729gs5I,
Félix Radu,Spotify,,,,0a0Pl9QiikzqYozn7qyooX,
YLR,Spotify,,,,0djUVWD4NWGZt9PLAlvYXj,
Traf,Spotify,,,,3M1kdGJP7DlEBGPb1JtKJX,
Sköne,Spotify,,,,6uMAPLKPcylTmdl0F1T2HF,
Janie,Spotify,,,,2WSFLb1izcqFnU9KakhCnU,
Misié Sadik,Spotify,,,,2BfjmShvoGPl4migLIun7a,
Atili,Spotify,,,,2F7pKYW346RPkqdSH8NiGP,
THK,Spotify,,,,1WQU2IzBLUDasXeZBtSVA3,
F200,Spotify,,,,5nnFJb2sF9qok7rGy1hg4d,
Nour,Spotify,,,,2Z55seSc1gT7BWnV0ElFNL,
FLKN,Spotify,,,,3OyQ9AeMFgwKFHUgBOISww,
Lille,Spotify,,,,1LmqhFAYA6BVhVx3kFrsZd,
TheFrenchKris,Spotify,,,,3mMx6lCCOvQZheRBZ3CTQs,
Ebony,Spotify,,,,0NCfVJ4NDxaKUW8yV4lUlQ,
Xavier Polycarpe,Spotify,,,,7lG3HWF81HrNSDVyK4zhuP,
Jahlys,Spotify,,,,4AcFhqecUgQOUNmdcdngEq,
LRB490,Spotify,,,,2UrTsnAc4CSukV44RC6PT6,
ANAÏS MVA,Spotify,,,,2MBvn4Y3ugNmUlWp1W65QL,
Boris & Moris,Spotify,,,,4o3kvOwkHLKBgwcifYQUdF,
Charles Ludig,Spotify,,,,0hO9TrLGquZn6cxbNqgpGl,
94fatso,Spotify,,,,4r9ruEx6tLz2x0WgtXVaoP,
T913,Spotify,,,,47RRhnkvrKrC6tm7fNYQTN,
Allan,Spotify,,,,7tJ1ZtOt4EOPyQnT8LE6rH,
Lili Poe,Spotify,,,,3xY67nlzCczbpUWrjCTdye,
L'Ordre Des Aventuriers,Spotify,,,,1nn9NQhtKG0AfAjV5ZX8l4,
Micky Green,Spotify,,,,2xRBcpNYedlk5IhmIxfUqo,
Blasé,Spotify,,,,4PqSBgXKxQuqclKpwB6iuc,
Karma 94,Spotify,,,,1s1KgcCLx44NR59HUXy3ic,
Kryssy,Spotify,,,,0aFrpBv0tkmDm9qFlXK2Gc,
Ève,Spotify,,,,09X1kbjR9O2Cb3gdPvpgKG,
Art-X,Spotify,,,,5H4bQKIbNqf60vLbV9C0zq,
949PAYA$o,Spotify,,,,1IKjfLTjdQB5p8lqsTgJI1,
Jäde,Spotify,,,,52CEzAtIDEJInO8yL0blFB,
Malter,Spotify,,,,3FDn3vsowXE4E7NNQn4fqq,
Shake Shake Go,Spotify,,,,1FmnkGJ5KDt1eCHJQVyAbk,
SOROSORO,Spotify,,,,1S0pZbFHkQSJvvpzfIHXSS,
Jazz douce musique d'ambiance,Spotify,,,,50odTEgNT8oNs9BrWD0kS4,
Pompis,Spotify,,,,5MvTyp1ILPh1FZupAcFffI,
Pep's,Spotify,,,,6dvyAgidTbcn9vJO1eWQ6y,
Paris,Spotify,,,,6UPRFx3Gnn5N67opROnwA5,
Lawskie,Spotify,,,,7gdTFjXWEBzBtir4DGFzku,
Jumo,Spotify,,,,3JpL06DxPRePrKeYaRhKwH,
SLK,Spotify,,,,6CBm5KPNnurK4hFutVDIpz,
Mani Deïz,Spotify,,,,0IKPfKkoKDbdQTKX0LCFZB,
Rakoon,Spotify,,,,6a6yqBUTk6XxSsrstQIBQ6,
Voleur pnz,Spotify,,,,6BGAhqSN3qEqlZRpMogAFN,
Bruzer,Spotify,,,,1U2Bzt0bhkqHJj7L1WQdnB,
Cyclope l'Héritier,Spotify,,,,0MKlq9NpviCizhTWbrC8KI,
Zitoune,Spotify,,,,5TRkqLaI9iMFdFiqN1wAXa,
Tookie2Beriz,Spotify,,,,142mBEMjSrFPCuDU0eS20r,
Blicassty,Spotify,,,,1MbUL0JryiwgLoPNX8esk6,
Clou,Spotify,,,,7DPzuksj4fnGIb4F9dVswN,
sheng,Spotify,,,,0mAIVu2rtpW9TYcbp88wqn,
Lille Fucker,Spotify,,,,6Sr0XZt2vowfPAzp9Mv1ck,
AZKA,Spotify,,,,20cVY12kekiJOzONmGOfyx,
Lé Will & Deuspi,Spotify,,,,1DaLT7Mgy04h833FKXKGO0,
Vincent Peirani,Spotify,,,,2aMYfhweGlfp6qj9r6OGUO,
Demon,Spotify,,,,4LiDDSfUo671okhAa6OSHY,
IN.94,Spotify,,,,0uFKA5yAa06BUDouOb1X8C,
Harley,Spotify,,,,1w8f71fNCVvZtiz4DLd7N5,
Latop,Spotify,,,,2Le5krQdKYGiP5xUQnIHKN,
wilsko,Spotify,,,,1d38UPGn8PJ9XekumcIBha,
Rain 910,Spotify,,,,76CqcY9GUeWmu1sGbDDBwi,
949_creeper,Spotify,,,,1dsLZMddSbqEnWNrXAZMr7,
Mec touché,Spotify,,,,0cfNKSR5Mcvh6jn8iPxcIT,
John Alenca,Spotify,,,,57H433bibChwiap8GjXH34,
DjeuhDjoah,Spotify,,,,6oay09Jpzlp3TKFbx7GBMY,
