nom,source,score,followers,fans,spotify_id,deezer_id
Sixième Sens,Deezer,,,,,89649
Nina Battisti,Deezer,,,,,66705142
Palm Trees,Deezer,,,,,8673994
Miel De Montagne,Deezer,,,,,13994675
Kazy Lambist,Deezer,,,,,5973802
Romare,Deezer,,,,,2938511
Le 3ème Œil,Deezer,,,,,2251
Ouss & Riane,Deezer,,,,,408682
Tchiggy,Deezer,,,,,13719509
Léa Paci,Deezer,,,,,11273910
Tony Ann,Deezer,,,,,13942111
Srno,Deezer,,,,,9958710
Snooky Pryor,Deezer,,,,,273905
Nakk Mendosa,Deezer,,,,,205298
Jalal El Hamdaoui,Deezer,,,,,124952
Mattyeux,Deezer,,,,,163940587
Leck,Deezer,,,,,95560
Le réparateur,Deezer,,,,,342163
Generationals,Deezer,,,,,299044
Emma Bale,Deezer,,,,,7210378
Dry Cleaning,Deezer,,,,,67907232
Gaelle,Deezer,,,,,5564
chien noir,Deezer,,,,,13217707
FRENSHIP,Deezer,,,,,5145267
The Doug,Deezer,,,,,6579627
Mariah the Scientist,Deezer,,,,,70986422
Hollydays,Deezer,,,,,4328434
P.R2B,Deezer,,,,,13909493
Typh Barrow,Deezer,,,,,5641260
Justin(e),Deezer,,,,,1670514
Zesau,Deezer,,,,,69076
Koma,Deezer,,,,,2215
Dombrance,Deezer,,,,,10017
Zélie,Deezer,,,,,5435777
Jimmy Whoo,Deezer,,,,,445220
Camel Power Club,Deezer,,,,,6760749
Pi Ja Ma,Deezer,,,,,10339096
Cheba Maria,Deezer,,,,,56048
Parmalee,Deezer,,,,,395967
Cate Le Bon,Deezer,,,,,288658
Ravyn Lenae,Deezer,,,,,8973774
LE NOISEUR,Deezer,,,,,5841997
Cween,Deezer,,,,,4346644
Zaoui,Deezer,,,,,164049927
Amel Zen,Deezer,,,,,5433412
Poom,Deezer,,,,,1196685
Nakk,Deezer,,,,,89094
Escobar Macson,Deezer,,,,,80440
Adrien Gallo,Deezer,,,,,4429709
Charlene Soraia,Deezer,,,,,507710
Darcy,Deezer,,,,,192002
Adil El Miloudi,Deezer,,,,,1243273
La Clinique,Deezer,,,,,16801
220 KID,Deezer,,,,,50577082
Solano,Deezer,,,,,156385
Lubiana,Deezer,,,,,5852263
Reda City 16,Deezer,,,,,101621
Master Sina,Deezer,,,,,10493231
Tony Romera,Deezer,,,,,371669
Rai,Deezer,,,,,808276
Rusowsky,Deezer,,,,,14547813
Fixpen Sill,Deezer,,,,,5957408
Laurie Darmon,Deezer,,,,,5439694
Sheikh Abdul Basset Abdel Samad,Deezer,,,,,388718
ALP,Deezer,,,,,102608
Bleu Toucan,Deezer,,,,,7077683
Janie,Deezer,,,,,80978422
Sen Senra,Deezer,,,,,7457468
Max Styler,Deezer,,,,,6469465
Dabs,Deezer,,,,,275677
Clio,Deezer,,,,,10154394
Kiemsa,Deezer,,,,,14277
Sam Sauvage,Deezer,,,,,101969182
Ajar,Deezer,,,,,3601941
Dr. Yaro & La Folie,Deezer,,,,,53742712
Ødyssey,Deezer,,,,,11488450
St Graal,Deezer,,,,,13311053
KDD,Deezer,,,,,13733
VALORANT,Deezer,,,,,136012742
Fouzi Torino,Deezer,,,,,7874592
De Hofnar,Deezer,,,,,5387928
Poolside,Deezer,,,,,1088905
Antoine Elie,Deezer,,,,,8681774
Colt,Deezer,,,,,507886
Clou,Deezer,,,,,77163
Jean Tonique,Deezer,,,,,1690810
Сергей Трофимов,Deezer,,,,,4459137
Laura Cahen,Deezer,,,,,1593750
Léonie Pernet,Deezer,,,,,5701960
Diva Faune,Deezer,,,,,1611138
Rouquine,Deezer,,,,,96110972
Johnny Jane,Deezer,,,,,78200722
Soge Culebra,Deezer,,,,,9305278
Low Deep T,Deezer,,,,,1453262
Naestro,Deezer,,,,,14814377
Coline Rio,Deezer,,,,,12231880
Lulu Gainsbourg,Deezer,,,,,1376656
Sage,Deezer,,,,,345686
Magenta Club,Deezer,,,,,75964992
Malo',Deezer,,,,,1428115
