nom,fans,nb_albums,nb_titres,categorie,image_url,url_deezer,nb_releases_recentes
Rai,5843,309,309,Pop,https://cdn-images.dzcdn.net/images/artist/d695d1137fa8127e6721892eb615041b/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/808276,8
Escobar Macson,6599,14,14,Pop,https://cdn-images.dzcdn.net/images/artist/8c70d8acb41299b2e3c93d993dae28d7/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/80440,0
Nakk,16668,30,30,Pop,https://cdn-images.dzcdn.net/images/artist/403310b890c82fa2b6930550e3c445c7/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/89094,25
La Clinique,6204,1,1,Pop,https://cdn-images.dzcdn.net/images/artist/4405835dd63eb5960ce6663fbceb5a04/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/16801,0
Cheb Hasni Sghir,1818,37,37,Pop,https://cdn-images.dzcdn.net/images/artist/ced3b66ac7e1dfd8655f8c33a188e44c/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/102557,6
Mazouzi,1771,44,44,Pop,https://cdn-images.dzcdn.net/images/artist/c3ffe3ba57ff1a17aaee42b015cd3673/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/255503,2
Cheba Souad,27119,128,128,Pop,https://cdn-images.dzcdn.net/images/artist/2ef590ae9e6dfc6ecb8dfe713de4126a/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/7553494,14
Leck,18785,45,45,Pop,https://cdn-images.dzcdn.net/images/artist/5dffc29d1c0ea50ab79435429d752b9e/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/95560,7
Nakk Mendosa,19118,10,10,Pop,https://cdn-images.dzcdn.net/images/artist/13e29651c9f0d8e8d7625ee44bb5b0f2/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/205298,0
Leon Thomas,12610,39,39,Pop,https://cdn-images.dzcdn.net/images/artist/3c13469bb27fb3bf3facc945404addf5/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/85065212,23
Ravyn Lenae,17576,25,25,Pop,https://cdn-images.dzcdn.net/images/artist/4d50b0c9141ab20606f9bca27f5f83c7/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/8973774,7
