nom,followers,popularity,genres,categorie,image_url,url_spotify,nb_albums,nb_releases_recentes
2 Mètres,19378,51,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb71574b9dcdc35a2f6c8c9578,https://open.spotify.com/artist/3WUHUmukg1hiSrVCfCoSbF,0,0
THBW,9201,38,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebbd83387338bbd1a5a99bddfe,https://open.spotify.com/artist/6dstTZ3g2nRj6zcWICIUA7,11,9
Maesic,27056,57,afro house,Afrobeat-Amapiano,https://i.scdn.co/image/ab6761610000e5eb41215b4c213706e495b45c1e,https://open.spotify.com/artist/1GO0BdzMo0I4HNHfbaLbKZ,59,21
Angy,5943,28,,Jazz-Soul,https://i.scdn.co/image/ab6761610000e5eb47da10c648bc965ff2d3b403,https://open.spotify.com/artist/6Vsl44M2EiCvnaUcD0LtiM,7,6
DEELEE S,11041,38,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb80f86efe7c78dc4aacb53d28,https://open.spotify.com/artist/5RxdeY8UpyJPFEf1tBoRtg,23,12
