nom,fans,nb_albums,nb_titres,categorie,image_url,url_deezer,nb_releases_recentes
Lyan Paris,8617,60,60,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist/d80185b76347931bcd9a851386e54549/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/5792,8
L'ADN DU RAP FRANCAIS,739,11,11,Autre,https://cdn-images.dzcdn.net/images/artist/bb7857da146e480564e294123ea37698/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/59996692,0
Momo Rap Français,225,3,3,Autre,https://cdn-images.dzcdn.net/images/artist/2961414557ffdda2236120693fe260ee/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/15208755,0
Rap,7580,57,57,Autre,https://cdn-images.dzcdn.net/images/artist/ab3c2e0ce8881e1cc87cf833b54e2b7f/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/4029302,18
Assassin,46367,13,13,Autre,https://cdn-images.dzcdn.net/images/artist/42551d0ad0cdddaabe6529ffd2b53f46/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/2521,6
François Valéry,20153,11,11,Autre,https://cdn-images.dzcdn.net/images/artist/98f0e675a4ee2d5488159f621cf763f6/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/8715,2
Francis Lai,11147,136,136,Autre,https://cdn-images.dzcdn.net/images/artist/de89c5a14b23b6e11adb9ee3b352eebd/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/15986,5
Francis Skyes,276,36,36,Autre,https://cdn-images.dzcdn.net/images/artist/6bd16615b8ace324a5295a8e6e80b2af/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/91788562,13
Winx Club,8318,49,49,Autre,https://cdn-images.dzcdn.net/images/artist/31c9cedf8238ee3709ced40f316b98dd/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/371284,2
Francoise Sanders,1377,26,26,Autre,https://cdn-images.dzcdn.net/images/artist/0811932b673a10b14c179fa707ffb93e/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/4158472,4
François de Roubaix,10971,24,24,Autre,https://cdn-images.dzcdn.net/images/artist/1dc33e89990cfe63899e3cf28a7458e0/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/10582,6
François Morel,6751,19,19,Autre,https://cdn-images.dzcdn.net/images/artist/3b87360710b1462b40e352dd625a22aa/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/110589,4
François Deguelt,2163,25,25,Autre,https://cdn-images.dzcdn.net/images/artist/484441827edac76146a21c9029dee718/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/86799,2
Françoiz Breut,9860,20,20,Autre,https://cdn-images.dzcdn.net/images/artist/2952d6794374d794ecbceea5af1b3a32/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/6787,1
François Pérusse,12470,16,16,Autre,https://cdn-images.dzcdn.net/images/artist/f6562febad9ff90b27b8d0aab630af27/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/3012,0
François Leleux,1642,20,20,Autre,https://cdn-images.dzcdn.net/images/artist/ec2781e58804d9ba961787231fc11b1c/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/76432,1
François Béranger,7932,15,15,Autre,https://cdn-images.dzcdn.net/images/artist/80356cea48afbb0aa14b0724f9c2af02/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/157861,0
Francis Goya,4118,175,175,Autre,https://cdn-images.dzcdn.net/images/artist/afbbbd86b89a77effbcc74f03a9276d1/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/68472,2
François Hadji-Lazaro,8684,4,4,Autre,https://cdn-images.dzcdn.net/images/artist/3821caf5646db7e99f559d07619f985e/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/133108,0
Francisco Canaro,4612,278,278,Autre,https://cdn-images.dzcdn.net/images/artist/36175e90d4bdc7c369851869b6f161a6/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/88339,6
François Ier,2599,12,12,Autre,https://cdn-images.dzcdn.net/images/artist/872d2174b250c16876e26f836a2b399b/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/5246590,2
François-Xavier Roth,2139,78,78,Autre,https://cdn-images.dzcdn.net/images/artist/38f6edff967e3f60ba8e8b1903a5cdff/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/795885,5
François & The New Frenchies,362,11,11,Autre,https://cdn-images.dzcdn.net/images/artist/bfffd813ed79acdfec7948cb304174d7/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/5436028,5
