nom,followers,popularity,genres,categorie,image_url,url_spotify,nb_albums,nb_releases_recentes
2 Mètres,17883,55,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb71574b9dcdc35a2f6c8c9578,https://open.spotify.com/artist/3WUHUmukg1hiSrVCfCoSbF,40,23
Diez,18682,48,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb5acc336a000bac1a8125aa8b,https://open.spotify.com/artist/082ELiDlIVdC1ovHXpWZHK,16,16
Lushe,36058,56,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb94b665a0b5b47618bcff3f4,https://open.spotify.com/artist/5zCMyo4rRc63lqoXLKIcgv,13,13
Solda,10243,51,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b27305a6f7c1af5093823ddf9ffc,https://open.spotify.com/artist/7FXX45sHqoQoCwqtG0ZV8H,21,9
Lulu Van Trapp,4611,19,"french indie pop, french pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebcdcff83aee390ea8fb845851,https://open.spotify.com/artist/6N9HDXBvQ0Nd9GVtHg3DMZ,12,2
Mitra,313,20,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb8cf9a3826bf9c2dbbe3a8d8c,https://open.spotify.com/artist/27XaRSrSeHtKOAJrzMBzQ8,6,1
Lawskie,3290,27,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eba2e890cd7acedee83b62a731,https://open.spotify.com/artist/7gdTFjXWEBzBtir4DGFzku,3,2
Voleur pnz,8199,39,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb598cb52579ce3662ae4600e8,https://open.spotify.com/artist/6BGAhqSN3qEqlZRpMogAFN,26,16
West Bank Records,21577,36,dancehall,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb52e04ab9135a4dbe83ef446d,https://open.spotify.com/artist/2VpYQkkjCohjSPskaQGyp0,22,2
Bobbyezz,36825,55,german hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebeefb4d37e96874ef1fa7e8d0,https://open.spotify.com/artist/5hV6TRKQwmvIWKTlsob1z8,36,21
La Zona,989,33,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb095328a734122da7dbb0c521,https://open.spotify.com/artist/0dapCwy3FCdgJb0yGCN4qQ,13,11
Bianca Costa,32727,49,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb0efadb1416d542a36766a1d8,https://open.spotify.com/artist/1DcL22xdIWcdNa4ZHaXZjT,31,14
LJK,10620,44,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9482d31ffea64457980d5baa,https://open.spotify.com/artist/6KPfd2qfwePi6IM7RyQ3hd,21,10
La Cabine,423,11,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b2731456c668216ffe615c8bc73b,https://open.spotify.com/artist/2NNoglK9J8vzsowuHI6k6n,23,0
Nouvelle Donne,386,16,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebf52f4600ebbeba6548aa312b,https://open.spotify.com/artist/6Numu0Mz3dCUG6kiBNdf5E,3,3
Mikeysem,2340,14,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebdaa9498f97ce8418ab5cddeb,https://open.spotify.com/artist/5Yz9TYi94Uup3otqHYUF5T,5,0
The Alone,159,14,drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb90f7c83db900bdd2fbc04afe,https://open.spotify.com/artist/2T1HPiXlPPtIZwcYovhQIO,13,11
Aj Ness,423,19,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9249cbe0a877d243b905c9fe,https://open.spotify.com/artist/4UKbdCFXAar9HgTTBPyef5,8,4
Cloudie,1078,8,"french indie pop, french pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb19caac029522300db5b4f6cf,https://open.spotify.com/artist/52jIUp3kS81lUqD2jFhAQd,10,5
Time Bomb All Stars,372,6,french rap,Rap-HipHop-RnB,,https://open.spotify.com/artist/6QEjD1XO21pQDdID9edgCp,0,0
Felipe,1659,10,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebeda61bd760550fde50d40c57,https://open.spotify.com/artist/1jEvmmt62aPniaH6j7py8S,11,2
Narco G,635,26,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb684db219ef23e9b6611f1436,https://open.spotify.com/artist/7D3hvCTFpI2gnTqKdvPKjz,26,12
IZU BABE,209,10,"french rap, rap chrétien",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebe3928507a763d00cea2ca554,https://open.spotify.com/artist/5fWWmqih67RIDZDuY7Wpk6,9,5
Emlo,1779,20,drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb24a37cdcb95c6b9aafae64a0,https://open.spotify.com/artist/5O4IDbze1xrfs2zY8wLJ1H,13,7
Coco061,6378,25,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273873807de7e61c637a3f5076e,https://open.spotify.com/artist/4jQd4K8fy9EuJJZErkbHts,7,4
2sick,342,33,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebee554b8a812b6371e7a17e2d,https://open.spotify.com/artist/1FQkPQ3IrjRAny1OXdGX8S,6,5
Gus,7383,22,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb78106603ac32ea795da938fa,https://open.spotify.com/artist/6kL9VJ0wAshNzlVZmSJZJN,22,4
SOROSORO,2328,28,afro soul,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb158df4e9e9e0e7769e056482,https://open.spotify.com/artist/1S0pZbFHkQSJvvpzfIHXSS,13,8
Dex z8,397,9,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb219429dce18c572181d4413c,https://open.spotify.com/artist/5TMmwFXvTgvBKtgzHOLG4N,8,0
MAVEL D,838,0,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb286abbf6fc33185d6311e8df,https://open.spotify.com/artist/7iR8JdQEwQR3LUiKXRbVh8,1,0
Lyan Paris,7126,21,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb54cdab8e6d2a5c116b91a53,https://open.spotify.com/artist/3KmJs3ery3PJQuQQ5FOllC,15,2
Paris Nest,270,10,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb0d685b3be2f9b17f68736892,https://open.spotify.com/artist/7lN61JDIavIUmhrsYbPSMC,5,5
Gabriel Paris,4269,26,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb402c3584ca67e943cee9902d,https://open.spotify.com/artist/5mC0vGi5lOCqYs53SOojs4,10,1
Paris Richards,1539,18,sexy drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9c51e9f95bc2d41317db246a,https://open.spotify.com/artist/2QKgfzDlgGJCv1hkfOovKH,34,19
Aymen Parisien,5738,15,raï,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b2731788d57a0470f1f7a50287f5,https://open.spotify.com/artist/0xOdtdbQkHKot7ODRxumLR,7,3
Cheb Aymen Parisien,27481,25,"raï, moroccan pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b2734444ed347a3e98f963720df6,https://open.spotify.com/artist/0F2vt3PHYGZ8pSFBHZ0laC,13,5
Le Dernier Parisien,264,5,"french rap, g-funk",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb3cdffdd6bf68b0bfcc4154d3,https://open.spotify.com/artist/2iQ9RuRrptwbGhkGFFyjH6,9,4
WIXO & LA2S,38358,59,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc9bb882e1240850ce794e9f2,https://open.spotify.com/artist/0VWHKHfSFwUhP0cuvVUfRN,20,13
HMZ,33470,55,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb801d992ee8cacaed07412b9d,https://open.spotify.com/artist/6pg4S5KTCPiEBp0rSWsaI6,28,20
Cyclope l'Héritier,14107,40,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc7e565760953955c6bf9d177,https://open.spotify.com/artist/0MKlq9NpviCizhTWbrC8KI,42,13
Jayel,36936,43,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb1fb5079e64bb49e3fc69e4ee,https://open.spotify.com/artist/5kKxz4PDHgrpIt8LX3PPiF,51,22
LRB490,17679,43,"shatta, maloya",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4ae2ccf31ac3b5f53072fbd1,https://open.spotify.com/artist/2UrTsnAc4CSukV44RC6PT6,33,16
Konieur,22526,53,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebba582f7c5ca7233d2f50a586,https://open.spotify.com/artist/3OFleM2K9wTLzf0wry6He3,11,11
L’Amerigo,14374,38,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebfed404cd56e98e4e5638b999,https://open.spotify.com/artist/0NLGp1poDBr1K4VVp3LVSL,35,12
TVLM,19646,51,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebbcd61543e1124441de794776,https://open.spotify.com/artist/6LNDkL0VeHXi0fMuefWS1w,14,11
RD,13805,31,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb086ad6bfb831fd90e2629a7,https://open.spotify.com/artist/07ZWwj7nQevMbVVLgwjAU6,23,8
RDR,4814,41,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb28ea868e03d0c54166315444,https://open.spotify.com/artist/2K8TwF85tEXePefdOxPZTW,20,16
Zitoune,20840,40,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc8ae3780ce12bb9ce88c448b,https://open.spotify.com/artist/5TRkqLaI9iMFdFiqN1wAXa,18,15
ZABUZA,12012,47,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9118449342defcef2a12be4f,https://open.spotify.com/artist/1BC1J2L4JXtQG3JgtDVCrk,78,43
lille Caesar,13531,46,"norwegian pop, norwegian hip hop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb594fe019191512d6335119b2,https://open.spotify.com/artist/79ydqO3TZ35NwkWtjyvugR,17,11
Lilleek,210,1,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273d7667647af97ff4149fec35c,https://open.spotify.com/artist/76GuUSbzRaO4eeL9PhAGBl,14,4
LILLE 16,272,7,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb2863a24af6d4beee35388514,https://open.spotify.com/artist/3FgDEdw02ZOkwuyWZTvIOV,6,6
RapZilla-LKM,2308,6,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb3ce327401332c6bc1447a81b,https://open.spotify.com/artist/39JrpTQZKfPHn4WWoyrMkU,19,2
LILLEN,1008,14,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb7b976517417efcae7baf3586,https://open.spotify.com/artist/04Me6qNw3Z1CIqUWrkmF5B,6,5
G-Kill,413,37,"french rap, french r&b",Rap-HipHop-RnB,,https://open.spotify.com/artist/2H3E75M2o5aedoI2KD0dvd,0,0
Lille Saus,1961,42,"russelåter, epadunk",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb6201975cdce5d4e2f458eb9a,https://open.spotify.com/artist/15saPvefLxxtw3nvTOCUg0,280,50
Lille Glenn,901,16,norwegian hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4a05bf9c5a1589a3cccf6e07,https://open.spotify.com/artist/6bvvimLWYUw7cbXtGa5jw8,13,1
Lille Pablo,1947,17,"norwegian hip hop, norwegian pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc828877f28eb07811b519023,https://open.spotify.com/artist/6Y4IHXCDwWvuNBmdqTIUTz,23,13
YLR,7639,40,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebdb440b11997d132e50c5c65d,https://open.spotify.com/artist/0djUVWD4NWGZt9PLAlvYXj,14,14
91 All Stars,27915,38,"french rap, pop urbaine",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb125d399554988a18f072d713,https://open.spotify.com/artist/2NXFKDjgSuIyiUUH2PEVHG,28,0
91,1193,33,turkish hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc0ca1886d0dfcdffcde1b61e,https://open.spotify.com/artist/227ZhUtAhpZiTj8S80p1y5,1,1
Santos 912,8633,36,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebfbb1d7842a1a31fa37602b73,https://open.spotify.com/artist/4NbbicWEOV9MfkaTuZBUnh,36,15
919gaijin,673,14,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4672af285fa899c2a1ff0987,https://open.spotify.com/artist/2vAFMlKReC5aI7I0AlEiyK,38,13
Batata 914,491,27,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebbe5b7b6363437291d895e413,https://open.spotify.com/artist/7CujhbovMdUlyC4gZILB63,11,8
Will Power 912,988,24,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb28fe6147c01f783c71699e05,https://open.spotify.com/artist/1b6E8GKvKbrozg36WhLulf,21,20
914PXPE!,374,8,"trap metal, horrorcore",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb04e3f94ac1f9a1da7fcf77e4,https://open.spotify.com/artist/1YRbRHu7EWHgjj6WMiQ4MZ,3,0
lvcas 91,717,18,boom bap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb449d95507bfd2f8356a93ac9,https://open.spotify.com/artist/4t26J3uwUdaNbiGaGvN10K,33,18
T913,2529,31,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb441ab243ff4da71fcb19cce,https://open.spotify.com/artist/47RRhnkvrKrC6tm7fNYQTN,19,2
911REEF,106,6,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb072ab1cf88431ae0bf8f85c5,https://open.spotify.com/artist/0ncFQCK5QMcCW8mNEaJGIP,7,7
91 NINEONE,165,5,moroccan rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb60b254efc334a190ac1e0220,https://open.spotify.com/artist/275v2UQSuAxoooUYpPvZDX,13,5
Arso911,4138,3,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb201264449e88dee1eb42e794,https://open.spotify.com/artist/2qvmRNV5NTShJKvi4gAZft,0,0
Rap2Rue,319,23,german hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273b0fa596d0f6fed32a8ca981c,https://open.spotify.com/artist/5vDfFo9ko8zt163U2qTc2I,2,2
RD92,380,4,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebdfd51509c5afb97e1bd0ed10,https://open.spotify.com/artist/6gsBVohYkoryIZGoNhNua9,10,8
Davo 92,3048,9,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb7791e2d47a03b2fafa3c5794,https://open.spotify.com/artist/1aC2EaDuaqmdG8HGLbjMf2,34,8
rz92i,1514,12,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebceabfd95e8bfba4f20febf8f,https://open.spotify.com/artist/77pl5wtTOGwF5FPUYUDEDz,7,3
Alka92140,4335,8,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273c0ba475640019fe104e1d26c,https://open.spotify.com/artist/0gxgKYUUgdbO3BOqz5iKDI,1,0
92_Montie,570,11,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb7c30c5167ce861023db0fbed,https://open.spotify.com/artist/2EuvBEH0mnMuqGadLoH87L,31,28
nes929,398,14,tekno,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc6b00301da8d24b0c41d984a,https://open.spotify.com/artist/3SNPmjhb121Cjy0Oskqsb4,10,10
92!kris,136,3,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eba3f0598e5bb8fc653be96660,https://open.spotify.com/artist/2G9pux34dMxzqLEsxejwin,1049,48
929Reese,128,0,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273242474eb8bef6f1e5b9a0d9b,https://open.spotify.com/artist/5OnYrMdN2FX7LgFN5LVHC1,3,0
Kasper 939,14354,29,"hip house, french rap",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb5058c3452b621eacbb0da11,https://open.spotify.com/artist/6wUGiWb7FR3Cv39sELlp1U,18,0
Sp93,20523,46,drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebbeedb4808b122ca076433b20,https://open.spotify.com/artist/70BVuSoIusPEV52Fyi3RlK,22,12
93TWENTY,465,3,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb799dcf82f40a12805f4aa80d,https://open.spotify.com/artist/7uvFEQb8bV6u3pLMpMVnIi,14,5
VALO93,364,21,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273c3abff6fe8f3153a9c26d68b,https://open.spotify.com/artist/1JNYkkxlv4mTQaO6KghFvo,3,0
