nom,fans,nb_albums,nb_titres,categorie,image_url,url_deezer,nb_releases_recentes
Rai,5853,309,309,Pop,https://cdn-images.dzcdn.net/images/artist/d695d1137fa8127e6721892eb615041b/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/808276,8
Escobar Macson,6599,14,14,Pop,https://cdn-images.dzcdn.net/images/artist/8c70d8acb41299b2e3c93d993dae28d7/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/80440,0
Nakk,16671,30,30,Pop,https://cdn-images.dzcdn.net/images/artist/403310b890c82fa2b6930550e3c445c7/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/89094,25
La Clinique,6208,1,1,Pop,https://cdn-images.dzcdn.net/images/artist/4405835dd63eb5960ce6663fbceb5a04/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/16801,0
Cheb Hasni Sghir,1818,37,37,Pop,https://cdn-images.dzcdn.net/images/artist/ced3b66ac7e1dfd8655f8c33a188e44c/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/102557,6
Mazouzi,1772,44,44,Pop,https://cdn-images.dzcdn.net/images/artist/c3ffe3ba57ff1a17aaee42b015cd3673/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/255503,2
Cheba Souad,27120,128,128,Pop,https://cdn-images.dzcdn.net/images/artist/2ef590ae9e6dfc6ecb8dfe713de4126a/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/7553494,14
Leck,18786,45,45,Pop,https://cdn-images.dzcdn.net/images/artist/5dffc29d1c0ea50ab79435429d752b9e/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/95560,7
Nakk Mendosa,19118,10,10,Pop,https://cdn-images.dzcdn.net/images/artist/13e29651c9f0d8e8d7625ee44bb5b0f2/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/205298,0
Leon Thomas,12746,39,39,Pop,https://cdn-images.dzcdn.net/images/artist/3c13469bb27fb3bf3facc945404addf5/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/85065212,23
Ravyn Lenae,17623,25,25,Pop,https://cdn-images.dzcdn.net/images/artist/4d50b0c9141ab20606f9bca27f5f83c7/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/8973774,7
Megan Moroney,7668,27,27,Pop,https://cdn-images.dzcdn.net/images/artist/80e2b4588aa126ca5f55ce341ed8bc1c/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/122856502,15
Ella Langley,11787,22,22,Pop,https://cdn-images.dzcdn.net/images/artist/77aa9c0c9d9789bb43151a3882166d20/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/14867123,14
Max McNown,7288,32,32,Pop,https://cdn-images.dzcdn.net/images/artist/6f6dc4851916af09bd2f20b84ab3ddc9/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/209730607,21
Role Model,19360,17,17,Pop,https://cdn-images.dzcdn.net/images/artist/5b8e13daa2e97f024585ca05e763ce1a/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/328088,6
Zach Top,4705,23,23,Pop,https://cdn-images.dzcdn.net/images/artist/61a046e9ed55620ae78359ba03b27ed5/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/129324502,9
Keshi,28370,26,26,Pop,https://cdn-images.dzcdn.net/images/artist/c3ee7fec6ab103168f805c7a3f842554/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/11121158,11
Riley Green,25997,39,39,Pop,https://cdn-images.dzcdn.net/images/artist/432eda6fc1dcf5d3643d52130c5717bd/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/4893551,12
WizTheMc,8409,11,11,Pop,https://cdn-images.dzcdn.net/images/artist/5cdf275d1c79d9d0d145febc9310721f/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/8896874,2
Michael Marcagi,2408,22,22,Pop,https://cdn-images.dzcdn.net/images/artist/30a85c273af2ec3e8def2792e21142a2/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/102060542,20
Lauren Alaina,13839,30,30,Pop,https://cdn-images.dzcdn.net/images/artist/39724fc827f0f8f9bede92baa91303d0/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/1218821,6
Hardy,29653,43,43,Pop,https://cdn-images.dzcdn.net/images/artist/78cc851d952198d2b23b0e9d6220ef3b/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/405567,18
Chase Matthew,4157,48,48,Pop,https://cdn-images.dzcdn.net/images/artist/62b65c76f11929b93f266bac85c7e37f/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/63538312,16
Dylan Scott,21899,54,54,Pop,https://cdn-images.dzcdn.net/images/artist/d83b582d97e876c740f645b04e3dc93e/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/1996541,9
Meghan Patrick,930,34,34,Pop,https://cdn-images.dzcdn.net/images/artist/507a57927747f355ad2096e59708bfee/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/9797388,9
Deezer D,1533,0,0,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist/616a9a2e5133f0bfb80859e07d19474b/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/1816551,0
Denov,4652,80,80,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist/3ecbf0fb3882d0566095a3bf9f8e9c8e/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/12949925,13
Pedro Qualy,4048,31,31,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist/6832ee243e0f1556d60bc9b613a3caca/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/6338452,13
Entre Linhas,3185,23,23,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist/3a2fbd068df68c39790c3030b91f93e6/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/10810476,0
Naio,319,16,16,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist/45bdbd96bbce37616ed555a80a941b6d/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/1944961,3
Rich Chigga,5613,1,1,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist/46cbe8cc9eddc64e5c8cd9140423b428/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/8571774,0
Lil' Lixo,13085,11,11,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist/7b66ef7a5776f7e43ef2644a5c7860de/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/14287939,0
Thiago,26353,14,14,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist/0f86e43228f6481c0767c38f69945e98/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/4145798,4
Menestrel,6856,43,43,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist/0db34aeac09af03f65e50220d69e3dc9/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/10894082,1
Mo' Money Original Motion Picture Soundtrack featuring Luther Vandross & Janet Jackson Feat. BBD & Ralph Tresvant,847,0,0,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist//250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/4087994,0
Redondo,7157,135,135,Rap-HipHop-RnB,https://cdn-images.dzcdn.net/images/artist/6bebd5b43393c09c439ddd9388bf80ba/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/383399,0
John Summit,16128,90,90,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/200982268dcabae98644b1601a90a948/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/12170972,22
Jordan Ward,3962,23,23,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/d220bce34e249daadd930d39698c7aa6/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/12479074,11
Notion,1258,13,13,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/b7f8e374d1bb0e497272c0b80ea719fd/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/233942491,10
Majestic,15311,60,60,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/99298e4f964b8b06feb1e5f459ddb900/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/110587122,13
Paris Paloma,31254,32,32,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/261327ad6add5c2287afdc8e003faa7a/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/106394202,10
Switch Disco,7444,52,52,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/74790178b85c331b6bbd11b738ff6e08/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/135682022,24
Lauren Spencer Smith,28032,25,25,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/f58606c68566caceda84194d6ac88e4f/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/139289332,10
Cloonee,9465,49,49,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/2f4004a1404096a89f788c75a0975f97/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/7153996,15
Aluna,4905,39,39,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/ef1b3aac53f0fe6888fbbea74284c886/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/92255432,11
Argy,12202,77,77,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/e71e56891f8a5bf21c9b78ce31d70a8c/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/145050,4
Lewis OfMan,18475,35,35,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/0314d1a0edc4a12a1ab5f6e434985c71/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/10504527,15
Lavern,3264,30,30,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/6d23c6ddc836ae9f55a5cb4c2ff3ad81/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/5742228,16
BNYX®,810,24,24,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/d0b232d8a1ad9fa87025cc35b51dfce4/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/52313992,22
Aaron Hibell,8042,25,25,Rock-Metal,https://cdn-images.dzcdn.net/images/artist/81e23e59790d4199c57e606d8aaf29ec/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/14383113,20
