nom,followers,popularite,avg_track_popularity,growth_indicator,score_potentiel,last_release_date,genres,url_spotify,date_extraction
Stony Stone,21179,48,41.3,6.7,60.08,2025-11-28,french rap,https://open.spotify.com/artist/39eNWcMW3ts3zXEQQ34jgR,2025-12-17 11:32:55
Kosei,22080,51,47.7,3.3,60.02,2025-11-14,"french rap, new wave",https://open.spotify.com/artist/5Bg2PFMIG6oqToVIATnZsd,2025-12-17 11:35:16
Meryem Aboulouafa,20580,45,36.2,8.8,59.87,2025-12-03,Non spécifié,https://open.spotify.com/artist/5h7TI4XI3fjCiG5MHJMyO0,2025-12-17 11:36:34
Eddy Woogy,7376,22,17.3,4.7,59.81,2023-12-31,french rap,https://open.spotify.com/artist/3sm4ryI7tITQ3YlgONOVN8,2025-12-17 11:39:04
Kyo Itachi,26511,38,33.1,4.9,59.67,2025-12-01,jazz rap,https://open.spotify.com/artist/5PRPuZbf1ia2JcLdxBxtXB,2025-12-17 11:34:31
Gros Mo,29637,38,29.6,8.4,58.97,2024-04-26,"french rap, french r&b",https://open.spotify.com/artist/7r65N4pfWPM7D0zKe86jgk,2025-12-17 11:37:18
mademoiselle lou,21926,40,32.8,7.2,58.93,2025-10-24,"pop urbaine, french r&b, french rap",https://open.spotify.com/artist/4CJClbpfpLi7UET4Nq1r3N,2025-12-17 11:35:11
Flynt,23900,36,31.7,4.3,58.05,2025-02-07,french rap,https://open.spotify.com/artist/1z0j1VhCO5qUbM6vxmEMDB,2025-12-17 11:38:23
Jwles,21412,36,28.6,7.4,57.98,2025-07-14,"french rap, hip house",https://open.spotify.com/artist/4vbxtxqdkeHt1dICi63qs8,2025-12-17 11:34:10
Bertie Newman,26576,42,35.7,6.3,57.92,2024-10-25,Non spécifié,https://open.spotify.com/artist/5FgAV3f4fiJ8tuztZ5eyWh,2025-12-17 11:37:03
Asinine,22552,41,38.7,2.3,57.91,2025-03-14,french rap,https://open.spotify.com/artist/2w10N3hV0WUy9gwONm435C,2025-12-17 11:33:59
Melan,27430,34,25.3,8.7,57.38,2024-02-23,french rap,https://open.spotify.com/artist/5TwGksCe3pSfpBcV96k6sS,2025-12-17 11:38:58
