nom,followers,popularite,avg_track_popularity,growth_indicator,score_potentiel,last_release_date,genres,url_spotify,date_extraction
Gen,13003,39,36.5,2.5,73.55,2025-01-31,french rap,https://open.spotify.com/artist/5TF46e3BqrK9NAOAUm608G,2025-12-17 11:34:35
Tedax Max,15503,33,26.7,6.3,73.49,2025-02-28,french rap,https://open.spotify.com/artist/6hjoQ84QiA6LVscW9dhcmO,2025-12-17 11:33:59
Blecko4Zar,11277,40,38.5,1.5,73.45,2025-10-26,french rap,https://open.spotify.com/artist/6JyZEpcWC3xXsv6QZ5Vdyu,2025-12-17 11:32:23
Oli,5160,40,41.25,-1.25,73.25,2025-05-22,"moroccan rap, french rap, moroccan pop",https://open.spotify.com/artist/19BKuc11aqDnKJNyIY8MKv,2025-12-17 11:36:36
L'uzine,14723,31,24.5,6.5,73.15,2025-04-29,"french rap, hardcore hip hop",https://open.spotify.com/artist/7BeihcnNgK5Md6ORbMEqwf,2025-12-17 11:34:38
Kent1,8791,36,32.9,3.1,73.13,2025-12-05,"zouk, kompa, shatta",https://open.spotify.com/artist/3j1OW2DW29UNsdM44viM9f,2025-12-17 11:35:31
Toulou,14443,35,31.3,3.7,73.11,2025-11-28,"zouk, kompa",https://open.spotify.com/artist/0X7QlcVMGgyXyNJ6IGaZWG,2025-12-17 11:35:26
WZ,8051,39,38.0,1.0,73.1,2025-12-03,Non spécifié,https://open.spotify.com/artist/4pMnPW4zYPriAuuC6mKfXM,2025-12-17 11:32:13
Thomas Goldberg,11905,35,31.5,3.5,73.05,2025-12-05,Non spécifié,https://open.spotify.com/artist/3mJSQo9rHKT7rqI949eCBd,2025-12-17 11:36:42
Wizdom,13682,33,28.5,4.5,72.95,2025-06-20,"shatta, zouk",https://open.spotify.com/artist/1w6y7kVzSXj0EsQhxkyzXp,2025-12-17 11:35:41
Arsaphe,8073,32,27.0,5.0,72.9,2025-09-26,french rap,https://open.spotify.com/artist/254Bb7mlUG9b3nRZ200dc9,2025-12-17 11:37:50
Lancelot,6341,37,35.5,1.5,72.85,2025-06-06,"french indie pop, french pop",https://open.spotify.com/artist/2h6HFDlZrXhfMDob23obTs,2025-12-17 11:39:12
JeanneTo,6656,34,31.1,2.9,72.67,2025-11-14,"hyperpop, french pop",https://open.spotify.com/artist/4QZHVgbqlCMCvLBtTcV39a,2025-12-17 11:33:16
rob,14982,34,31.8,2.2,72.46,2025-02-28,french rap,https://open.spotify.com/artist/73Ifh3j4V2PI6R5JNkcIyz,2025-12-17 11:33:43
Sskyron,9664,33,30.3,2.7,72.41,2025-07-23,"zouk, kizomba, shatta, french r&b",https://open.spotify.com/artist/2BUGUX2H14DcyEE2bqBDn3,2025-12-17 11:35:29
Eloquence,5518,32,29.2,2.8,72.24,2025-11-21,french rap,https://open.spotify.com/artist/685Gc0hObCotgZ7K8bE05K,2025-12-17 11:34:12
Liouba,5213,31,28.2,2.8,72.04,2025-06-10,Non spécifié,https://open.spotify.com/artist/7xTweEPZDMQwrJTgHZKxuj,2025-12-17 11:33:52
Liljooe,17735,34,33.5,0.5,71.95,2025-12-11,"zouk, kompa",https://open.spotify.com/artist/1fXRDObcekmH7aEVbCqsYZ,2025-12-17 11:35:35
IRSNa,10854,45,42.1,2.9,71.87,2024-03-05,Non spécifié,https://open.spotify.com/artist/3hPqxI3SsQNfUDfNIpJDeR,2025-12-17 11:37:04
Tidem,16270,41,35.9,5.1,71.73,2024-10-27,shatta,https://open.spotify.com/artist/6sTLgEEZMRu3PTRjhyHD2U,2025-12-17 11:35:58
Secteur 410,7163,31,30.4,0.6,71.38,2025-12-05,"shatta, zouk, kompa",https://open.spotify.com/artist/2gmiSWAqBQE8NIUKZJJh5q,2025-12-17 11:35:49
Shikki,10749,42,40.3,1.7,70.91,2024-02-14,Non spécifié,https://open.spotify.com/artist/6TBo7rPKniZAbrtupt3B9U,2025-12-17 11:37:15
Kay The Prodigy,15886,34,27.5,6.5,70.75,2024-06-21,french rap,https://open.spotify.com/artist/4ziOwyCpUFMlERkfyoEV6p,2025-12-17 11:34:25
AMIN,7014,40,37.8,2.2,70.66,2024-10-23,french rap,https://open.spotify.com/artist/0CA8jbz5CnyVRLR807BskD,2025-12-17 11:32:13
Joe la panic,5212,34,28.2,5.8,70.54,2024-12-05,"french pop, french indie pop",https://open.spotify.com/artist/0WrQRK1aus4QQQlPTGOcat,2025-12-17 11:39:31
I.n.c.h,6475,33,27.5,5.5,70.25,2024-08-23,french rap,https://open.spotify.com/artist/3DgnSCFY1j9wRW5Ujlk6iW,2025-12-17 11:38:24
Algéric,16776,38,36.3,1.7,70.11,2024-09-27,"zouk, kompa",https://open.spotify.com/artist/6V788FEftK2VvhtleSaPwY,2025-12-17 11:35:34
Mola,49150,43,37.0,6.0,70.06,2025-02-21,french rap,https://open.spotify.com/artist/2i9Epm0DZYGrXPOJbLpTbR,2025-12-17 11:32:24
Lindigo,11350,31,24.9,6.1,70.03,2024-04-26,Non spécifié,https://open.spotify.com/artist/75cnhwOJsykn09SSesbIQh,2025-12-17 11:36:01
Anton Serra,15053,31,24.9,6.1,70.03,2024-12-08,french rap,https://open.spotify.com/artist/4hP7MU4b6uUn1UZQblU9LI,2025-12-17 11:38:48
Eta,15113,34,30.1,3.9,69.97,2024-01-05,french rap,https://open.spotify.com/artist/4hLEWmW8SCJYxZkWfSJakZ,2025-12-17 11:37:40
Enchantée Julia,14863,34,30.2,3.8,69.94,2024-11-22,"french r&b, french indie pop",https://open.spotify.com/artist/0t04WLkoyjSuvhzsXIJH7E,2025-12-17 11:37:23
Tour De Manège,7981,32,26.9,5.1,69.93,2024-06-21,trip hop,https://open.spotify.com/artist/6NgwMiz1Dwsktnn8p8yujE,2025-12-17 11:36:10
Marshall,10942,34,30.4,3.6,69.88,2024-05-10,"shatta, zouk, kompa",https://open.spotify.com/artist/3PVXeZI5d2zsKUDjmxOKtM,2025-12-17 11:35:59
San-Nom,9680,34,30.4,3.6,69.88,2024-02-02,french rap,https://open.spotify.com/artist/7xdv7Qhz3mkp6imLNklYhp,2025-12-17 11:39:28
IPNDEGO,12161,35,33.1,1.9,69.57,2024-07-04,"french r&b, pop urbaine",https://open.spotify.com/artist/1NnXEta54oioiS58v4Ahrj,2025-12-17 11:35:17
Chanje,9537,32,28.1,3.9,69.57,2024-09-26,french rap,https://open.spotify.com/artist/5BZQ1LKKtw3uu6NIJdlU4Y,2025-12-17 11:37:51
H JeuneCrack,47104,45,40.5,4.5,69.19,2025-02-06,"french rap, new wave",https://open.spotify.com/artist/6Gm6S6XDUo6un4aPrRNeOj,2025-12-17 11:33:36
Tatane,10007,31,27.7,3.3,69.19,2024-12-15,"shatta, zouk, kompa",https://open.spotify.com/artist/1nGAkxWQrJ6GH0we2O48N8,2025-12-17 11:35:49
LÉA CHURROS,48528,47,46.8,0.2,68.87,2025-10-03,"zouk, kompa, kizomba, shatta",https://open.spotify.com/artist/1wroQVdy6a6jempVrScxJC,2025-12-17 11:35:43
Doulkha,41371,55,52.2,2.8,68.39,2025-01-31,french rap,https://open.spotify.com/artist/746NtgxeCDrfBTLUOOvjBw,2025-12-17 11:37:31
EDGE,43767,41,33.4,7.6,67.99,2025-01-24,french rap,https://open.spotify.com/artist/0ZCX1rGywF2LATUUCq0nOg,2025-12-17 11:35:02
USKY,42851,45,39.1,5.9,67.91,2025-04-24,"french rap, pop urbaine, cloud rap, french r&b",https://open.spotify.com/artist/0VbfTzGkMlei0XtibnO466,2025-12-17 11:32:51
Bakari,13391,28,20.4,7.6,67.88,2025-04-30,french rap,https://open.spotify.com/artist/6ENue1D9ypy32vI8BWQx33,2025-12-17 11:37:20
Mychael Danna,35677,52,41.5,10.5,67.82,2025-05-22,soundtrack,https://open.spotify.com/artist/0x8J72N9ilqcIZbWEKB8T2,2025-12-17 11:36:57
St Unit,12381,29,23.5,5.5,67.45,2025-11-28,"shatta, zouk, dancehall, kompa, ragga",https://open.spotify.com/artist/3ZgxAwvBnX0CSGmeFWCuQU,2025-12-17 11:35:38
Infinit',42541,43,38.0,5.0,67.12,2025-02-21,french rap,https://open.spotify.com/artist/5y2Ny3eOPrhtb5uQFl30vq,2025-12-17 11:33:42
Josué,14018,28,23.7,4.3,66.89,2025-05-16,french rap,https://open.spotify.com/artist/4Bb3vJgKsgjMmxDEElLZ1Y,2025-12-17 11:34:52
Lucio Bukowski,44295,36,30.2,5.8,66.66,2025-11-07,french rap,https://open.spotify.com/artist/2uNTCtTH48JmBT5b3PEgcW,2025-12-17 11:38:34
Jungle Jack,36269,53,48.2,4.8,66.55,2025-06-27,french rap,https://open.spotify.com/artist/36HOtWiV4nn0luNGSn2xAT,2025-12-17 11:33:55
