artist_id,nom,fans,total_albums,engagement_rate,radio,url_deezer,date_extraction,score_potentiel
14625,Nap,4014,66,100,True,https://www.deezer.com/artist/14625,2025-12-17 10:44:29,47.52
5465599,K.S.A,2023,29,100,True,https://www.deezer.com/artist/5465599,2025-12-17 10:41:09,45.59
6579705,Shaz,2459,37,100,True,https://www.deezer.com/artist/6579705,2025-12-17 10:40:35,45.05
6108952,Titai,1656,27,100,True,https://www.deezer.com/artist/6108952,2025-12-17 10:41:49,44.76
220817865,Dau,1092,22,100,True,https://www.deezer.com/artist/220817865,2025-12-17 10:40:10,44.19
100864212,i300,1927,33,100,True,https://www.deezer.com/artist/100864212,2025-12-17 10:40:37,43.89
87807,Driver,3025,93,100,True,https://www.deezer.com/artist/87807,2025-12-17 10:48:55,43.24
52128412,Ekloz,1537,31,100,True,https://www.deezer.com/artist/52128412,2025-12-17 10:48:02,42.76
13778311,HIM$,1903,72,100,True,https://www.deezer.com/artist/13778311,2025-12-17 10:43:00,38.91
7451158,Brooke Alexx,1252,43,100,True,https://www.deezer.com/artist/7451158,2025-12-17 10:44:01,38.28
