nom,fans,genre,image_url,url_deezer,date_collecte
ID2,9563,Pop,https://cdn-images.dzcdn.net/images/artist/7cbbb2e01f94676aac8b5a343ffadc9d/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/9071704,2026-01-20
ID3,613,Pop,https://cdn-images.dzcdn.net/images/artist/645a6e2b49f2eb0187cec920182517df/250x250-000000-80-0-0.jpg,https://www.deezer.com/artist/1488132,2026-01-20
