nom,followers,popularity,genres,categorie,image_url,url_spotify,nb_albums,nb_releases_recentes
2 Mètres,18733,52,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb71574b9dcdc35a2f6c8c9578,https://open.spotify.com/artist/3WUHUmukg1hiSrVCfCoSbF,40,22
Diez,20033,46,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb5acc336a000bac1a8125aa8b,https://open.spotify.com/artist/082ELiDlIVdC1ovHXpWZHK,16,16
Solda,10285,49,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b27305a6f7c1af5093823ddf9ffc,https://open.spotify.com/artist/7FXX45sHqoQoCwqtG0ZV8H,21,8
Lushe,37196,53,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb94b665a0b5b47618bcff3f4,https://open.spotify.com/artist/5zCMyo4rRc63lqoXLKIcgv,13,13
Bobbyezz,37826,53,german hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebeefb4d37e96874ef1fa7e8d0,https://open.spotify.com/artist/5hV6TRKQwmvIWKTlsob1z8,37,21
Bianca Costa,33286,46,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb0efadb1416d542a36766a1d8,https://open.spotify.com/artist/1DcL22xdIWcdNa4ZHaXZjT,30,14
Lawskie,3319,22,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eba2e890cd7acedee83b62a731,https://open.spotify.com/artist/7gdTFjXWEBzBtir4DGFzku,3,2
Lulu Van Trapp,4628,17,"french indie pop, french pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebcdcff83aee390ea8fb845851,https://open.spotify.com/artist/6N9HDXBvQ0Nd9GVtHg3DMZ,12,2
Mitra,326,19,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb8cf9a3826bf9c2dbbe3a8d8c,https://open.spotify.com/artist/27XaRSrSeHtKOAJrzMBzQ8,6,1
Voleur pnz,8240,37,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb598cb52579ce3662ae4600e8,https://open.spotify.com/artist/6BGAhqSN3qEqlZRpMogAFN,27,15
West Bank Records,21900,33,dancehall,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb52e04ab9135a4dbe83ef446d,https://open.spotify.com/artist/2VpYQkkjCohjSPskaQGyp0,22,2
LJK,10687,41,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9482d31ffea64457980d5baa,https://open.spotify.com/artist/6KPfd2qfwePi6IM7RyQ3hd,21,9
La Zona,1004,31,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb095328a734122da7dbb0c521,https://open.spotify.com/artist/0dapCwy3FCdgJb0yGCN4qQ,13,11
La Cabine,427,10,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b2731456c668216ffe615c8bc73b,https://open.spotify.com/artist/2NNoglK9J8vzsowuHI6k6n,23,0
Mikeysem,2367,12,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebdaa9498f97ce8418ab5cddeb,https://open.spotify.com/artist/5Yz9TYi94Uup3otqHYUF5T,5,0
The Alone,172,14,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb90f7c83db900bdd2fbc04afe,https://open.spotify.com/artist/2T1HPiXlPPtIZwcYovhQIO,14,12
Cloudie,1073,7,"french indie pop, french pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb19caac029522300db5b4f6cf,https://open.spotify.com/artist/52jIUp3kS81lUqD2jFhAQd,10,5
Aj Ness,421,18,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9249cbe0a877d243b905c9fe,https://open.spotify.com/artist/4UKbdCFXAar9HgTTBPyef5,9,5
Time Bomb All Stars,373,5,french rap,Rap-HipHop-RnB,,https://open.spotify.com/artist/6QEjD1XO21pQDdID9edgCp,0,0
Felipe,1662,9,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebeda61bd760550fde50d40c57,https://open.spotify.com/artist/1jEvmmt62aPniaH6j7py8S,11,2
Emlo,1790,18,drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb24a37cdcb95c6b9aafae64a0,https://open.spotify.com/artist/5O4IDbze1xrfs2zY8wLJ1H,13,6
