nom,followers,popularity,genres,categorie,image_url,url_spotify,nb_albums,nb_releases_recentes
Cloudie,1078,9,"french indie pop, french pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb19caac029522300db5b4f6cf,https://open.spotify.com/artist/52jIUp3kS81lUqD2jFhAQd,10,5
Time Bomb All Stars,372,7,french rap,Rap-HipHop-RnB,,https://open.spotify.com/artist/6QEjD1XO21pQDdID9edgCp,0,0
Felipe,1660,11,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebeda61bd760550fde50d40c57,https://open.spotify.com/artist/1jEvmmt62aPniaH6j7py8S,11,2
Gabi,4970,24,german hip hop,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb41c19091aae7f61f29fe5ce1,https://open.spotify.com/artist/4gkLBjl1hnfw2pmSZ1JNZl,17,3
Emlo,1767,21,drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb24a37cdcb95c6b9aafae64a0,https://open.spotify.com/artist/5O4IDbze1xrfs2zY8wLJ1H,13,7
Narco G,630,27,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb684db219ef23e9b6611f1436,https://open.spotify.com/artist/7D3hvCTFpI2gnTqKdvPKjz,26,12
IZU BABE,209,11,"french rap, rap chrétien",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebe3928507a763d00cea2ca554,https://open.spotify.com/artist/5fWWmqih67RIDZDuY7Wpk6,9,6
Coco061,6377,26,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273873807de7e61c637a3f5076e,https://open.spotify.com/artist/4jQd4K8fy9EuJJZErkbHts,7,4
2sick,341,34,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebee554b8a812b6371e7a17e2d,https://open.spotify.com/artist/1FQkPQ3IrjRAny1OXdGX8S,6,5
Malter,2497,30,french r&b,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb8b028033bf8a3bec09671b06,https://open.spotify.com/artist/3FDn3vsowXE4E7NNQn4fqq,26,9
Gus,7379,23,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb78106603ac32ea795da938fa,https://open.spotify.com/artist/6kL9VJ0wAshNzlVZmSJZJN,22,4
SOROSORO,2313,30,afro soul,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb158df4e9e9e0e7769e056482,https://open.spotify.com/artist/1S0pZbFHkQSJvvpzfIHXSS,13,8
Dex z8,397,10,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb219429dce18c572181d4413c,https://open.spotify.com/artist/5TMmwFXvTgvBKtgzHOLG4N,8,0
MAVEL D,839,0,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb286abbf6fc33185d6311e8df,https://open.spotify.com/artist/7iR8JdQEwQR3LUiKXRbVh8,1,0
Souli,1478,12,"french rap, pop urbaine",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb76e56e0e51a9a3426e49d6f3,https://open.spotify.com/artist/6j2mAzLfu9ZMjd4rwCRjjn,41,13
Metah,22834,53,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb227d8d465a1fd613102e965,https://open.spotify.com/artist/0Dr1nbwa1KW5wHYUCsrnAF,53,27
Lyan Paris,7122,22,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebb54cdab8e6d2a5c116b91a53,https://open.spotify.com/artist/3KmJs3ery3PJQuQQ5FOllC,15,2
Walk in Paris,5238,23,"french r&b, french rap",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebd8a759732264fadadfb66b91,https://open.spotify.com/artist/7iogfxoFBRb7fwoxDIFJoG,13,0
Ici c'est Paris,2044,22,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b273f3e47194a579f8bb8413ecdb,https://open.spotify.com/artist/0XVAP17xehWKLmcb0DhtbZ,2,0
PARIS,535,8,,Rap-HipHop-RnB,,https://open.spotify.com/artist/2fJEMFxjixjc2hNewZLi8D,0,0
Paris Nest,269,11,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb0d685b3be2f9b17f68736892,https://open.spotify.com/artist/7lN61JDIavIUmhrsYbPSMC,5,5
Paris Price,3507,19,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb8fda2ff3e9e54db0e4068a94,https://open.spotify.com/artist/6rt9RysQUXJjzYXaIXdXu7,21,11
Gabriel Paris,4271,27,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb402c3584ca67e943cee9902d,https://open.spotify.com/artist/5mC0vGi5lOCqYs53SOojs4,10,1
Paris Richards,1540,21,sexy drill,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9c51e9f95bc2d41317db246a,https://open.spotify.com/artist/2QKgfzDlgGJCv1hkfOovKH,33,18
Aymen Parisien,5603,16,raï,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b2731788d57a0470f1f7a50287f5,https://open.spotify.com/artist/0xOdtdbQkHKot7ODRxumLR,7,3
Cheb Aymen Parisien,27471,27,"raï, moroccan pop",Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b2734444ed347a3e98f963720df6,https://open.spotify.com/artist/0F2vt3PHYGZ8pSFBHZ0laC,13,5
Le Dernier Parisien,261,6,"french rap, g-funk",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb3cdffdd6bf68b0bfcc4154d3,https://open.spotify.com/artist/2iQ9RuRrptwbGhkGFFyjH6,9,4
Paris Clayvonne Miller Parrish,1186,9,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb0558482ef7bd75198ba3e169,https://open.spotify.com/artist/3G6sKPMn6vaBrnqus9wnLL,38,4
Marseille Capitale du Rap,1729,28,,Rap-HipHop-RnB,https://i.scdn.co/image/ab67616d0000b2736b202255331aecaa7b539bf1,https://open.spotify.com/artist/4dcePQod0y9jDp7u9S59BV,5,5
Lagui,9632,50,,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebd18ed8e3137beb4234c9d65f,https://open.spotify.com/artist/3TP2Ucsow6rW1s24aq9gb4,3,3
HMZ,33244,56,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb801d992ee8cacaed07412b9d,https://open.spotify.com/artist/6pg4S5KTCPiEBp0rSWsaI6,28,20
ZZ,28492,60,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb36650aef9a8a6777cb226562,https://open.spotify.com/artist/51loVlVgRomkJwd04A6B1e,18,18
Cyclope l'Héritier,13996,41,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc7e565760953955c6bf9d177,https://open.spotify.com/artist/0MKlq9NpviCizhTWbrC8KI,42,13
Bendo,5742,49,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb65df7d1372720a15902b915c,https://open.spotify.com/artist/2VDWsiOnCzMSnxfinUYJkH,119,28
RDN,16485,53,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb3420c2c27bb051131976609d,https://open.spotify.com/artist/4rKMthZmMbSiMdow1f1rBE,15,15
LRB490,17586,44,"shatta, maloya",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4ae2ccf31ac3b5f53072fbd1,https://open.spotify.com/artist/2UrTsnAc4CSukV44RC6PT6,33,16
YSN,4502,48,"shatta, zouk, kompa",Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb9792d40350110255a1fd0c94,https://open.spotify.com/artist/2JxvmvS4bijkOfkIrZcK0Q,24,20
Draviss,17267,38,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb8480557b61024d9c94181ad0,https://open.spotify.com/artist/3GzWhBfnYnIg373ftnyaqc,27,11
okis,11915,38,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebdfdf408b1b0c2722305a9113,https://open.spotify.com/artist/5Cu5db0NsK9CumDuby09cB,27,16
Mecra Officiel,19084,37,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb4a36c8aedf42532649572f58,https://open.spotify.com/artist/2Ya02DIvFJEBvDBTznlYCp,29,12
Konieur,21738,54,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebba582f7c5ca7233d2f50a586,https://open.spotify.com/artist/3OFleM2K9wTLzf0wry6He3,11,11
Zitoune,20683,42,french rap,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5ebc8ae3780ce12bb9ce88c448b,https://open.spotify.com/artist/5TRkqLaI9iMFdFiqN1wAXa,18,15
Jäde,22381,42,french r&b,Rap-HipHop-RnB,https://i.scdn.co/image/ab6761610000e5eb3673b06ce7cadd07f844639a,https://open.spotify.com/artist/52CEzAtIDEJInO8yL0blFB,29,11
